model,category,dataset,query_format,query_source,MRR@10,P@1,Recall@5,MRR@10_lo,MRR@10_hi,MRR@1,MRR@5,Recall@1,Recall@10
BGE-base,General Embedding,PMC-Patients,keyword,metadata_only,0.95625,0.93,0.99,0.9195729166666667,0.9833333333333334,0.93,0.955,0.93,1.0
BGE-base,General Embedding,PMC-Patients,natural_language,metadata_only,0.9683333333333334,0.95,0.99,0.9366249999999999,0.9933333333333334,0.95,0.9683333333333334,0.95,0.99
BGE-base,General Embedding,Synthetic,keyword,metadata_only,0.7301666666666666,0.58,0.96,0.6674833333333333,0.7916916666666667,0.58,0.7291666666666665,0.58,0.97
BGE-base,General Embedding,Synthetic,natural_language,metadata_only,0.7977777777777777,0.67,0.95,0.741923611111111,0.8556944444444444,0.67,0.7925,0.67,0.99
GTE-base,General Embedding,MTSamples,keyword,metadata_only,0.9317619047619047,0.91,0.97,0.8864244047619046,0.9725083333333333,0.91,0.9303333333333333,0.91,0.98
GTE-base,General Embedding,MTSamples,natural_language,metadata_only,0.9394999999999999,0.92,0.98,0.8986624999999999,0.9770083333333333,0.92,0.9394999999999999,0.92,0.98
GTE-base,General Embedding,PMC-Patients,keyword,metadata_only,0.9816666666666666,0.97,1.0,0.9583333333333335,1.0,0.97,0.9816666666666666,0.97,1.0
GTE-base,General Embedding,PMC-Patients,natural_language,metadata_only,0.985,0.98,0.99,0.96,1.0,0.98,0.985,0.98,0.99
GTE-base,General Embedding,Synthetic,keyword,metadata_only,0.7471904761904762,0.62,0.94,0.6826636904761904,0.8125136904761904,0.62,0.7418333333333333,0.62,0.98
GTE-base,General Embedding,Synthetic,natural_language,metadata_only,0.7864246031746032,0.66,0.94,0.727321130952381,0.847863492063492,0.66,0.7786666666666667,0.66,1.0
Nomic-embed-text,General Embedding,MTSamples,keyword,metadata_only,0.9275,0.9,0.96,0.88,0.97,0.9,0.9275,0.9,0.96
Nomic-embed-text,General Embedding,MTSamples,natural_language,metadata_only,0.9433333333333332,0.93,0.96,0.8983333333333333,0.9817083333333333,0.93,0.9433333333333332,0.93,0.96
Nomic-embed-text,General Embedding,PMC-Patients,keyword,metadata_only,0.9474166666666668,0.92,0.99,0.911,0.9783416666666666,0.92,0.9461666666666667,0.92,1.0
Nomic-embed-text,General Embedding,PMC-Patients,natural_language,metadata_only,0.95,0.91,0.99,0.915,0.98,0.91,0.9483333333333335,0.91,1.0
Nomic-embed-text,General Embedding,Synthetic,keyword,metadata_only,0.7514444444444445,0.63,0.95,0.6902333333333335,0.8161736111111112,0.63,0.7476666666666667,0.63,0.98
Nomic-embed-text,General Embedding,Synthetic,natural_language,metadata_only,0.7878571428571428,0.66,0.96,0.7297440476190475,0.8466755952380952,0.66,0.7833333333333333,0.66,0.99
OpenAI-emb3-small,General API,MTSamples,keyword,metadata_only,0.8866666666666666,0.81,0.97,0.8399583333333333,0.9333333333333332,0.81,0.8866666666666666,0.81,0.97
OpenAI-emb3-small,General API,MTSamples,natural_language,metadata_only,0.9141666666666666,0.88,0.96,0.8641458333333332,0.96,0.88,0.9141666666666666,0.88,0.96
OpenAI-emb3-small,General API,PMC-Patients,keyword,metadata_only,0.9386666666666666,0.91,0.99,0.8994958333333332,0.9758333333333334,0.91,0.9386666666666666,0.91,0.99
OpenAI-emb3-small,General API,PMC-Patients,natural_language,metadata_only,0.9591666666666667,0.94,0.99,0.9241666666666667,0.9883333333333334,0.94,0.9591666666666667,0.94,0.99
OpenAI-emb3-small,General API,Synthetic,keyword,metadata_only,0.784,0.65,0.99,0.7299875,0.8421708333333332,0.65,0.784,0.65,0.99
OpenAI-emb3-small,General API,Synthetic,natural_language,metadata_only,0.8419444444444444,0.73,0.98,0.7924930555555554,0.8950208333333334,0.73,0.8391666666666666,0.73,1.0
E5-Mistral-7B,General LLM,MTSamples,keyword,metadata_only,0.1708849206349206,0.12,0.25,0.11324255952380953,0.23585952380952374,0.12,0.16566666666666666,0.12,0.29
E5-Mistral-7B,General LLM,MTSamples,natural_language,metadata_only,0.41794047619047625,0.34,0.51,0.3371722222222222,0.5004978174603174,0.34,0.40449999999999997,0.34,0.61
E5-Mistral-7B,General LLM,PMC-Patients,keyword,metadata_only,0.5157619047619049,0.44,0.65,0.4251520833333333,0.6033416666666666,0.44,0.5091666666666668,0.44,0.7
E5-Mistral-7B,General LLM,PMC-Patients,natural_language,metadata_only,0.6209563492063492,0.5,0.8,0.5446164682539683,0.7010065476190477,0.5,0.6161666666666666,0.5,0.84
E5-Mistral-7B,General LLM,Synthetic,keyword,metadata_only,0.11248412698412698,0.06,0.18,0.06483125,0.16483640873015873,0.06,0.09933333333333333,0.06,0.28
E5-Mistral-7B,General LLM,Synthetic,natural_language,metadata_only,0.10458333333333333,0.08,0.13,0.053322916666666664,0.16128125,0.08,0.10333333333333333,0.08,0.14
Phi-3-mini,General LLM,MTSamples,keyword,metadata_only,0.5420555555555555,0.4,0.75,0.46677291666666676,0.6171152777777777,0.4,0.5306666666666666,0.4,0.83
Phi-3-mini,General LLM,MTSamples,natural_language,metadata_only,0.5409126984126984,0.44,0.66,0.4569994047619048,0.622943849206349,0.44,0.5281666666666667,0.44,0.75
Phi-3-mini,General LLM,PMC-Patients,keyword,metadata_only,0.5728888888888889,0.46,0.77,0.49574375000000004,0.6567513888888888,0.46,0.561,0.46,0.87
Phi-3-mini,General LLM,PMC-Patients,natural_language,metadata_only,0.6571904761904761,0.57,0.79,0.5837460317460318,0.7392382936507935,0.57,0.6466666666666667,0.57,0.87
Phi-3-mini,General LLM,Synthetic,keyword,metadata_only,0.39732936507936517,0.24,0.61,0.322427380952381,0.4697067460317461,0.24,0.37833333333333335,0.24,0.75
Phi-3-mini,General LLM,Synthetic,natural_language,metadata_only,0.40598412698412695,0.25,0.62,0.3300465277777778,0.47814444444444437,0.25,0.38983333333333337,0.25,0.73
E5-Mistral-7B-ablation,General LLM,MTSamples,keyword,metadata_only,0.7516785714285714,0.67,0.86,0.6739136904761905,0.8195166666666667,0.67,0.7473333333333332,0.67,0.89
E5-Mistral-7B-ablation,General LLM,MTSamples,natural_language,metadata_only,0.5559246031746031,0.44,0.71,0.478811507936508,0.6377349206349208,0.44,0.5363333333333333,0.44,0.85
E5-Mistral-7B-ablation,General LLM,PMC-Patients,keyword,metadata_only,0.7424444444444444,0.63,0.88,0.6774138888888889,0.8124583333333333,0.63,0.7386666666666666,0.63,0.91
E5-Mistral-7B-ablation,General LLM,PMC-Patients,natural_language,metadata_only,0.7586349206349206,0.68,0.88,0.6914646825396825,0.8287688492063492,0.68,0.7505,0.68,0.94
E5-Mistral-7B-ablation,General LLM,Synthetic,keyword,metadata_only,0.6400277777777778,0.44,0.96,0.5729361111111111,0.7087986111111112,0.44,0.6376666666666666,0.44,0.98
E5-Mistral-7B-ablation,General LLM,Synthetic,natural_language,metadata_only,0.5360357142857143,0.35,0.81,0.4632758928571429,0.6133068452380953,0.35,0.5278333333333333,0.35,0.87
Nomic-embed-text-nopfx,General Embedding,MTSamples,keyword,metadata_only,0.9180952380952381,0.88,0.96,0.8697559523809525,0.9600357142857142,0.88,0.9166666666666665,0.88,0.97
Nomic-embed-text-nopfx,General Embedding,MTSamples,natural_language,metadata_only,0.9433333333333332,0.93,0.95,0.9016666666666666,0.9833333333333333,0.93,0.9383333333333332,0.93,0.98
Nomic-embed-text-nopfx,General Embedding,PMC-Patients,keyword,metadata_only,0.9486666666666665,0.92,0.99,0.9136666666666667,0.9803666666666666,0.92,0.9470000000000001,0.92,1.0
Nomic-embed-text-nopfx,General Embedding,PMC-Patients,natural_language,metadata_only,0.9733333333333334,0.95,1.0,0.9466666666666668,0.995,0.95,0.9733333333333334,0.95,1.0
Nomic-embed-text-nopfx,General Embedding,Synthetic,keyword,metadata_only,0.7304563492063493,0.58,0.94,0.6676760912698412,0.7966805555555556,0.58,0.725,0.58,0.98
Nomic-embed-text-nopfx,General Embedding,Synthetic,natural_language,metadata_only,0.7874285714285714,0.65,0.96,0.7277577380952379,0.8436750000000001,0.65,0.7826666666666666,0.65,0.99
